"analog_libid","analog_name","drug_ccmsid","analog_mgf_scan","chemical_source","cleanup_name","broad_pert_iname","Kine_FDA_drug_class","Kine_broad_disease_area","Kine_broad_indication","Kine_broad_moa","inchikey"
"CCMSLIB00012724571","related spectra of 'Dolutegravir (Delta Mass:-27.995)'","CCMSLIB00010136050|CCMSLIB00010136051|CCMSLIB00010136052|CCMSLIB00010136053|CCMSLIB00010136054|CCMSLIB00010136055|CCMSLIB00010136056|CCMSLIB00010136057|CCMSLIB00010140181|CCMSLIB00010140182|CCMSLIB00010140183|CCMSLIB00010140184|CCMSLIB00010140185",2211,"Drug_suspect","Dolutegravir","dolutegravir","HIV integrase strand transfer inhibitor (HIV INSTI)","infectious disease","human immunodeficiency virus (HIV-1)","HIV integrase inhibitor","RHWKPHLQXYSBKR-BMIGLBTASA-N"
"CCMSLIB00012724581","related spectra of 'Elvitegravir (GS-9137) (Delta Mass:13.98)'","CCMSLIB00000078379",2221,"Drug_suspect","elvitegravir","elvitegravir","HIV integrase strand transfer inhibitor (HIV INSTI)","infectious disease","human immunodeficiency virus (HIV-1)","HIV integrase inhibitor","JUZYLCPPVHEVSV-LJQANCHMSA-N"
"CCMSLIB00012724582","related spectra of 'Elvitegravir (GS-9137) (Delta Mass:14.016)'","CCMSLIB00000078379",2222,"Drug_suspect","elvitegravir","elvitegravir","HIV integrase strand transfer inhibitor (HIV INSTI)","infectious disease","human immunodeficiency virus (HIV-1)","HIV integrase inhibitor","JUZYLCPPVHEVSV-LJQANCHMSA-N"
"CCMSLIB00012724583","related spectra of 'Elvitegravir (GS-9137) (Delta Mass:15.995)'","CCMSLIB00000078379",2223,"Drug_suspect","elvitegravir","elvitegravir","HIV integrase strand transfer inhibitor (HIV INSTI)","infectious disease","human immunodeficiency virus (HIV-1)","HIV integrase inhibitor","JUZYLCPPVHEVSV-LJQANCHMSA-N"
"CCMSLIB00012724584","related spectra of 'Elvitegravir (GS-9137) (Delta Mass:30.01)'","CCMSLIB00000078379",2224,"Drug_suspect","elvitegravir","elvitegravir","HIV integrase strand transfer inhibitor (HIV INSTI)","infectious disease","human immunodeficiency virus (HIV-1)","HIV integrase inhibitor","JUZYLCPPVHEVSV-LJQANCHMSA-N"
"CCMSLIB00012724577","related spectra of 'EFAVIRENZ (Delta Mass:15.995)'","CCMSLIB00000079120",2217,"Drug_suspect","efavirenz","efavirenz","HIV non-nucleoside reverse transcriptase inhibitor (HIV NNRTI)","infectious disease","human immunodeficiency virus (HIV-1)","HIV protease inhibitor","XPOQHMRABVBWPR-ZDUSSCGKSA-N"
"CCMSLIB00012724820","related spectra of 'Massbank:AU235703 Efavirenz|6-Chloro-4-(cyclopropylethynyl)-4-(trifluoromethyl)-1,4-dihydro-2H-3,1-benzoxazin-2-one|6-chloro-4-(2-cyclopropylethynyl)-4-(trifluoromethyl)-1H-3,1-benzoxazin-2-one (Delta Mass:2.004)'","CCMSLIB00005776641",2460,"Drug_suspect","efavirenz","efavirenz","HIV non-nucleoside reverse transcriptase inhibitor (HIV NNRTI)","infectious disease","human immunodeficiency virus (HIV-1)","HIV protease inhibitor","XPOQHMRABVBWPR-UHFFFAOYSA-N"
"CCMSLIB00012724821","related spectra of 'Massbank:AU235703 Efavirenz|6-Chloro-4-(cyclopropylethynyl)-4-(trifluoromethyl)-1,4-dihydro-2H-3,1-benzoxazin-2-one|6-chloro-4-(2-cyclopropylethynyl)-4-(trifluoromethyl)-1H-3,1-benzoxazin-2-one (Delta Mass:15.995)'","CCMSLIB00005776641",2461,"Drug_suspect","efavirenz","efavirenz","HIV non-nucleoside reverse transcriptase inhibitor (HIV NNRTI)","infectious disease","human immunodeficiency virus (HIV-1)","HIV protease inhibitor","XPOQHMRABVBWPR-UHFFFAOYSA-N"
"CCMSLIB00012724958","related spectra of 'Massbank:EQ329201 Efavirenz|(4S)-6-chloro-4-(2-cyclopropylethynyl)-4-(trifluoromethyl)-1H-3,1-benzoxazin-2-one (Delta Mass:15.995)'","CCMSLIB00005734748",2598,"Drug_suspect","efavirenz","efavirenz","HIV non-nucleoside reverse transcriptase inhibitor (HIV NNRTI)","infectious disease","human immunodeficiency virus (HIV-1)","HIV protease inhibitor","XPOQHMRABVBWPR-ZDUSSCGKSA-N"
"CCMSLIB00012724480","related spectra of 'Abacavir sulfate (Delta Mass:-40.032)'","CCMSLIB00000078595",2120,"Drug_suspect","abacavir","abacavir","HIV nucleoside analog reverse transcriptase inhibitor (HIV NRTI)","infectious disease","human immunodeficiency virus (HIV-1)","nucleoside reverse transcriptase inhibitor","MCGSCOLBFJQGHM-SCZZXKLOSA-N"
