FeatureID,SpectrumID,row m/z,row retention time,Compound_Name,name_compound,name_parent_compound,cleanup_name_drug_only,Group,chemical_source,pharmacologic_class,therapeutic_area,therapeutic_indication,Final_class
20991,CCMSLIB00005773253,373.285935,5.310852,"Massbank:AU270206 Finasteride|(1S,3aS,3bS,5aR,9aR,9bS,11aS)-N-tert-butyl-9a,11a-dimethyl-7-oxo-1,2,3,3a,3b,4,5,5a,6,9b,10,11-dodecahydroindeno[5,4-f]quinoline-1-carboxamide",finasteride,finasteride,finasteride,drug_only,Medical,5-alpha reductase inhibitor,dermatology|urology,male androgenetic alopecia|benign prostatic hyperplasia,5-alpha reductase inhibitor
22798,CCMSLIB00006680034,341.2115867,5.6563053,CANRENONE,canrenone,spironolactone,canrenone,drug_only,Medical|Drug metabolite,aldosterone antagonist,endocrinology|cardiology,hyperaldosteronism|congestive heart failure|edema|hypertension|hypokalemia,aldosterone antagonist
7438,CCMSLIB00000210721,166.1226491,2.7425973,"Massbank:EA275807 Ephedrine|(1R,2S)-2-(methylamino)-1-phenyl-1-propanol",ephedrine,ephedrine,ephedrine,drug_only,Medical,alpha adrenergic agonistbeta adrenergic agonistnorepinephrine-releasing agent,cardiology|pulmonary|otolaryngology,hypotension|bronchial asthma|nasal congestion,alpha adrenergic agonistbeta adrenergic agonistnorepinephrine-releasing agent
14523,CCMSLIB00000078096,452.1879563,4.109045,Doxazosin mesylate,doxazosin,doxazosin,doxazosin,drug_only,Medical,alpha adrenergic blocker,urology|cardiology,benign prostatic hyperplasia (BPH)|hypertension,alpha adrenergic blocker
12983,CCMSLIB00010130383,409.1788906,3.8888135,TAMSULOSIN,tamsulosin ,tamsulosin ,tamsulosin,drug_only,Medical,alpha adrenergic blocker,urology,benign prostatic hyperplasia (BPH),alpha adrenergic blocker
10037,CCMSLIB00010152484,388.2007695,3.3890393,terazosin,terazosin ,terazosin ,terazosin ,drug_only,Medical,alpha adrenergic blocker,urology|cardiology,benign prostatic hyperplasia (BPH)|hypertension,alpha adrenergic blocker
11629,CCMSLIB00010152484,388.1971518,3.7060251,terazosin,terazosin ,terazosin ,terazosin ,drug_only,Medical,alpha adrenergic blocker,urology|cardiology,benign prostatic hyperplasia (BPH)|hypertension,alpha adrenergic blocker
36771,CCMSLIB00004721671,684.2024832,8.734149,ACARBOSE,acarbose,acarbose,acarbose,drug_only,Medical,alpha glucosidase inhibitor,endocrinology,type 2 diabetes mellitus,alpha glucosidase inhibitor
11665,CCMSLIB00013652823,352.1946991,3.818236,related spectra of 'donepezil  (Delta Mass:-28.03)',related spectra of 'donepezil  (Delta Mass:-28.03)',donepezil ,donepezil,both,Drug_analog,acetylcholinesterase inhibitor,neurology/psychiatry,Alzheimer's disease,Alzheimer's disease medication
12696,CCMSLIB00013652860,366.2041966,3.896467,related spectra of 'donepezil  (Delta Mass:-14.02)',related spectra of 'donepezil  (Delta Mass:-14.02)',donepezil ,donepezil,both,Drug_analog,acetylcholinesterase inhibitor,neurology/psychiatry,Alzheimer's disease,Alzheimer's disease medication
13726,CCMSLIB00013655300,380.2142795,4.016126,donepezil,donepezil ,donepezil ,donepezil ,both,Medical,acetylcholinesterase inhibitor,neurology/psychiatry,Alzheimer's disease,Alzheimer's disease medication
18359,CCMSLIB00013654920,277.0792749,4.8213153,Massbank:AU235002 Flutamide|2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,flutamide,flutamide,flutamide,drug_only,Medical,androgen receptor inhibitor,oncology,prostate cancer,androgen receptor inhibitor
11943,CCMSLIB00013650855,397.1772356,3.7241323,related spectra of 'benazepril (Delta Mass:-28.031)',related spectra of 'benazepril (delta mass:-28.031)',benazepril,benazepril,analog_only,Drug_analog,angiotensin converting enzyme inhibitor,cardiology|nephrology,hypertension|congestive heart failure|myocardial infarction|diabetic nephropathy|chronic kidney disease,angiotensin converting enzyme inhibitor
8194,CCMSLIB00013644872,406.2361113,2.832659,LISINOPRIL,lisinopril,lisinopril,lisinopril,drug_only,Medical,angiotensin converting enzyme inhibitor,cardiology|nephrology,hypertension|congestive heart failure|diabetic nephropathy|chronic kidney disease,angiotensin converting enzyme inhibitor
23488,CCMSLIB00013651554,646.0246858,5.6837187,"Massbank:LU037802 Amiodarone|(2-butyl-1-benzofuran-3-yl)-[4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl]methanone",amiodarone,amiodarone,amiodarone,both,Medical,antiarrhythmic,cardiology,ventricular arrhythmias,antiarrhythmic
18571,CCMSLIB00013654091,676.0081261,4.8838573,"""related spectra of 'Massbank:LU037802 Amiodarone|(2-butyl-1-benzofuran-3-yl)-[4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl]methanone (Delta Mass:29.974)'""","related spectra of 'massbank:lu037802 amiodarone|(2-butyl-1-benzofuran-3-yl)-[4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl]methanone (delta mass:29.974)'",amiodarone,amiodarone,both,Drug_analog,antiarrhythmic,cardiology,ventricular arrhythmias,antiarrhythmic
