analog_libid,name_analog,parent_drug_libid,delta_mass,analog_mgf_scan,chemical_source,name_connected_compound,pharmacologic_class,therapeutic_area,therapeutic_indication,mechanism_of_action,inchikey
CCMSLIB00012722361,related spectra of 'benzimidazole (delta mass:1.0)',CCMSLIB00010143329,1,1,Drug_analog,benzimidazole,no_match,no_match,no_match,no_match,HYZJCKYKOHLVJF-UHFFFAOYSA-N
CCMSLIB00012722362,related spectra of 'thioguanine (delta mass:-27.05)',CCMSLIB00003137276,-27.05,2,Drug_analog,thioguanine,antimetabolite,hematologic malignancy,acute myeloid leukemia (AML),purine antagonist,UYTPUPDQBNUYGX-UHFFFAOYSA-N
CCMSLIB00012722363,related spectra of 'hydroquinone (delta mass:15.99)',CCMSLIB00000425063,15.99,3,Drug_analog,hydroquinone,melanin synthesis inhibitor,dermatology,dyschromia,melanin inhibitor,QIGBRXMKCJKVMJ-UHFFFAOYSA-N
CCMSLIB00012722364,related spectra of 'paracetamol (delta mass:1.0)',CCMSLIB00006113948,1,4,Drug_analog,paracetamol,other analgesics and antipyretics,neurology/psychiatry|endocrinology,pain relief|fever,cyclooxygenase inhibitor,RZVAJINKPMORJF-UHFFFAOYSA-N
CCMSLIB00012722365,related spectra of 'hymecromone (delta mass:-21.98)',CCMSLIB00000220779|CCMSLIB00000222870|CCMSLIB00000565034|CCMSLIB00000568353|CCMSLIB00005726695|CCMSLIB00005757745,-21.98,5,Drug_analog,hymecromone,other drugs for bile therapy,gastroenterology,biliary spasms,HA synthesis inhibitor,HSHNITRMYYLLCV-UHFFFAOYSA-N
CCMSLIB00012722366,related spectra of 'hymecromone (delta mass:-14.02)',CCMSLIB00000220779|CCMSLIB00000222870|CCMSLIB00000565034|CCMSLIB00000568353|CCMSLIB00005726695|CCMSLIB00005757745,-14.02,6,Drug_analog,hymecromone,other drugs for bile therapy,gastroenterology,biliary spasms,HA synthesis inhibitor,HSHNITRMYYLLCV-UHFFFAOYSA-N
CCMSLIB00012722367,related spectra of '1400w (delta mass:-15.01)',CCMSLIB00010138799|CCMSLIB00010138800,-15.01,7,Drug_analog,1400w,no_match,NA,NA,nitric oxide synthase inhibitor,RODUKNYOEVZQPR-UHFFFAOYSA-N
CCMSLIB00012722368,related spectra of 'rimantadine (delta mass:-16.03)',CCMSLIB00000566331|CCMSLIB00000566351|CCMSLIB00000574056|CCMSLIB00005731441|CCMSLIB00005731570|CCMSLIB00005733302|CCMSLIB00005735868|CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131282|CCMSLIB00010131284|CCMSLIB00010131285,-16.03,8,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N|UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722369,related spectra of 'rimantadine (delta mass:-16.03)',CCMSLIB00000566331|CCMSLIB00000566351|CCMSLIB00000574056|CCMSLIB00005731441|CCMSLIB00005731570|CCMSLIB00005733302|CCMSLIB00005735868|CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131282|CCMSLIB00010131284|CCMSLIB00010131285,-16.03,9,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N|UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722370,related spectra of 'rimantadine (delta mass:-16.03)',CCMSLIB00000566351|CCMSLIB00000574056|CCMSLIB00005731441|CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131284,-16.03,10,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N|UBCHPRBFMUDMNC-ULCLOTFOSA-N
