new_id,old_id
CCMSLIB00012722361,CCMSLIB00012172908
CCMSLIB00012722362,CCMSLIB00012172910
CCMSLIB00012722363,CCMSLIB00012172911
CCMSLIB00012722364,CCMSLIB00012172919
CCMSLIB00012722365,CCMSLIB00012172920
CCMSLIB00012722366,CCMSLIB00012172924
CCMSLIB00012722367,CCMSLIB00012172926
CCMSLIB00012722368,CCMSLIB00012172927
CCMSLIB00012722369,CCMSLIB00012172928
CCMSLIB00012722370,CCMSLIB00012172929
CCMSLIB00012722371,CCMSLIB00012172930
CCMSLIB00012722372,CCMSLIB00012172931
CCMSLIB00012722373,CCMSLIB00012172933
CCMSLIB00012722374,CCMSLIB00012172934
CCMSLIB00012722375,CCMSLIB00012172935
CCMSLIB00012722376,CCMSLIB00012172936
CCMSLIB00012722377,CCMSLIB00012172937
CCMSLIB00012722378,CCMSLIB00012172938
CCMSLIB00012722379,CCMSLIB00012172939
CCMSLIB00012722380,CCMSLIB00012172941
CCMSLIB00012722381,CCMSLIB00012172942
CCMSLIB00012722382,CCMSLIB00012172943
CCMSLIB00012722383,CCMSLIB00012172944
CCMSLIB00012722384,CCMSLIB00012172945
CCMSLIB00012722385,CCMSLIB00012172946
CCMSLIB00012722386,CCMSLIB00012172947
CCMSLIB00012722387,CCMSLIB00012172948
CCMSLIB00012722388,CCMSLIB00012172949
CCMSLIB00012722389,CCMSLIB00012172950
CCMSLIB00012722390,CCMSLIB00012172951
CCMSLIB00012722391,CCMSLIB00012172952
CCMSLIB00012722392,CCMSLIB00012172953
CCMSLIB00012722393,CCMSLIB00012172954
CCMSLIB00012722394,CCMSLIB00012172955
CCMSLIB00012722395,CCMSLIB00012172956
CCMSLIB00012722396,CCMSLIB00012172957
CCMSLIB00012722397,CCMSLIB00012172958
CCMSLIB00012722398,CCMSLIB00012172959
CCMSLIB00012722399,CCMSLIB00012172960
CCMSLIB00012722400,CCMSLIB00012172961
CCMSLIB00012722401,CCMSLIB00012172962
CCMSLIB00012722402,CCMSLIB00012172963
CCMSLIB00012722403,CCMSLIB00012172964
CCMSLIB00012722404,CCMSLIB00012172965
CCMSLIB00012722405,CCMSLIB00012172966
CCMSLIB00012722406,CCMSLIB00012172968
CCMSLIB00012722407,CCMSLIB00012172969
CCMSLIB00012722408,CCMSLIB00012172970
CCMSLIB00012722409,CCMSLIB00012172971
CCMSLIB00012722410,CCMSLIB00012172972
CCMSLIB00012722411,CCMSLIB00012172973
CCMSLIB00012722412,CCMSLIB00012172974
CCMSLIB00012722413,CCMSLIB00012172976
CCMSLIB00012722414,CCMSLIB00012172977
CCMSLIB00012722415,CCMSLIB00012172978
CCMSLIB00012722416,CCMSLIB00012172979
CCMSLIB00012722417,CCMSLIB00012172980
CCMSLIB00012722418,CCMSLIB00012172981
CCMSLIB00012722419,CCMSLIB00012172983
CCMSLIB00012722420,CCMSLIB00012172984
CCMSLIB00012722421,CCMSLIB00012172985
CCMSLIB00012722422,CCMSLIB00012172987
CCMSLIB00012722423,CCMSLIB00012172988
CCMSLIB00012722424,CCMSLIB00012172989
CCMSLIB00012722425,CCMSLIB00012172990
